Effect,Subject,Estimate,StdErrPred,DF,tValue,Probt
Intercept,id 208087,2.2466,0.8448,5396,2.66,0.0079
Intercept,id 208155,2.2229,0.4812,5396,4.62,<.0001
Intercept,id 208245,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 208324,0.7923,0.9567,5396,0.83,0.4076
Intercept,id 208414,2.2229,0.4812,5396,4.62,<.0001
Intercept,id 208458,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 208504,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 208638,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 208706,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 208728,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 208739,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 208783,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 208807,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 208840,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 208851,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 208873,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 208884,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 208930,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 208941,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 208952,2.2795,0.8494,5396,2.68,0.0073
Intercept,id 208963,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 208974,2.7158,0.4091,5396,6.64,<.0001
Intercept,id 208985,1.3507,1.0964,5396,1.23,0.2180
Intercept,id 208996,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 209000,2.2229,0.4812,5396,4.62,<.0001
Intercept,id 209011,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 209022,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 209033,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 209268,1.6484,0.6134,5396,2.69,0.0072
Intercept,id 209538,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 209672,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 209718,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 209751,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 209841,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 209852,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 209863,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 209874,1.9710,0.5364,5396,3.67,0.0002
Intercept,id 209885,2.3335,0.4842,5396,4.82,<.0001
Intercept,id 209896,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 209909,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 209931,0.7923,0.9567,5396,0.83,0.4076
Intercept,id 209942,1.6484,0.6134,5396,2.69,0.0072
Intercept,id 209953,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 209975,2.7505,0.3808,5396,7.22,<.0001
Intercept,id 209986,2.8814,0.3591,5396,8.02,<.0001
Intercept,id 209997,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 210003,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 210014,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 210025,2.3335,0.4842,5396,4.82,<.0001
Intercept,id 210036,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 210091,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 210216,1.5119,0.7572,5396,2.00,0.0459
Intercept,id 210372,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 210440,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 210462,0.9750,0.9963,5396,0.98,0.3278
Intercept,id 210484,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 210508,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 210530,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 210596,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 210609,2.4988,0.4883,5396,5.12,<.0001
Intercept,id 210697,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 210710,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 210877,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 210967,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 211059,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 211105,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 211116,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 211127,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 211149,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 211160,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 211239,1.7501,0.7825,5396,2.24,0.0254
Intercept,id 211395,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 211408,2.9782,0.4130,5396,7.21,<.0001
Intercept,id 211711,1.9710,0.5364,5396,3.67,0.0002
Intercept,id 211755,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 211766,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 211777,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 211799,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 211801,2.7505,0.3808,5396,7.22,<.0001
Intercept,id 211812,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 211823,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 211979,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 211990,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 212005,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 212016,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 212027,2.0784,0.5403,5396,3.85,0.0001
Intercept,id 212038,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 212071,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 212082,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 212093,1.0145,1.0056,5396,1.01,0.3131
Intercept,id 212106,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 212117,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 212139,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 212150,-0.5377,1.1813,5396,-0.46,0.6490
